full_name,directorate,address,lat,lon,avg_temp_summer,avg_temp_winter,record_temp_max,record_temp_min,temp_amplitude,annual_precipitation,avg_wind_speed,snow_days,avg_humidity,avg_pressure,climate_source,land_cover,elevation,terrain_type,corrosive_environment,coastal_proximity,equipment_risk_score,risk_category
Эксплуатационное локомотивное депо Тында (ТЧЭ-11);,Дальневосточная дирекция тяги,"Россия, 680000, Хабаровский край, г. Хабаровск, ул. Ленина, 18В",55.1360974,124.7510449,,,,,,,,,68,709,Yandex.Weather,Urban,497.0,Hills,None,False,2.0,LOW
Эксплуатационное локомотивное депо Ружино (ТЧЭ-4);,Дальневосточная дирекция тяги,"Россия, 680000, Хабаровский край, г. Хабаровск, ул. Ленина, 18В",45.493353,133.438005,,,,,,,,,66,752,Yandex.Weather,Urban,70.0,Lowland,None,False,2.0,LOW
Эксплуатационное локомотивное депо Партизанск (ТЧЭ-14);,Дальневосточная дирекция тяги,"Россия, 680000, Хабаровский край, г. Хабаровск, ул. Ленина, 18В",43.1495097,133.1388719,,,,,,,,,61,746,Yandex.Weather,Urban,132.0,Lowland,None,False,1.9,LOW
Эксплуатационное локомотивное депо Сургут (ТЧЭ-18);,Свердловская дирекция тяги,"Россия, 620013, г. Екатеринбург, ул.Челюскинцев, д.11",61.287572,73.292127,,,,,,,,,85,751,Yandex.Weather,Urban,0.0,Lowland,None,False,2.3,LOW
Эксплуатационное локомотивное депо Белгород-Курский (ТЧЭ-31);,Юго-Восточная дирекция тяги,"Россия, 394036, г. Воронеж, проспект Революции, д.18",50.593653,36.606127,,,,,,,,,87,734,Yandex.Weather,Urban,116.0,Lowland,None,False,2.3,LOW
Эксплуатационное локомотивное депо Смоляниново (ТЧЭ-8);,Дальневосточная дирекция тяги,"Россия, 680000, Хабаровский край, г. Хабаровск, ул. Ленина, 18В",43.278105,132.453191,,,,,,,,,61,752,Yandex.Weather,Urban,41.0,Lowland,None,False,1.9,LOW
Эксплуатационное локомотивное депо Северобайкальск (ТЧЭ-12);,Восточно-Сибирская дирекция тяги,"Россия, Иркутск, 664005, г. Иркутск, ул. Маяковского, д.25а",55.6425976,109.362843,,,,,,,,,46,721,Yandex.Weather,Urban,487.0,Hills,None,False,1.7,LOW
Эксплуатационное локомотивное депо Гудермес (ТЧЭ-25);,Северо-Кавказская дирекция тяги,"Россия, 344019, г. Ростов-на-Дону, Привокзальная пл., д.1/2",43.350629,46.107031,,,,,,,,,78,748,Yandex.Weather,Urban,55.0,Lowland,None,False,2.2,LOW
Эксплуатационное локомотивное депо Кемь (ТЧЭ-26);,Октябрьская дирекция тяги,"Россия, 191036, г. Санкт-Петербург, Невский проспект, д.85/д",64.9605215,34.5746546,,,,,,,,,73,752,Yandex.Weather,Urban,0.0,Lowland,None,False,2.1,LOW
Эксплуатационное локомотивное депо Суоярви (ТЧЭ-30);,Октябрьская дирекция тяги,"Россия, 191036, г. Санкт-Петербург, Невский проспект, д.85/д",62.0822,32.341838,,,,,,,,,76,740,Yandex.Weather,Urban,0.0,Lowland,None,False,2.1,LOW
Эксплуатационное локомотивное депо Мурманск (ТЧЭ-28);,Октябрьская дирекция тяги,"Россия, 191036, г. Санкт-Петербург, Невский проспект, д.85/д",68.9772634,33.074805,,,,,,,,,72,746,Yandex.Weather,Urban,0.0,Lowland,None,False,2.1,LOW
Эксплуатационное локомотивное депо Хабаровск-П (ТЧЭ-2);,Дальневосточная дирекция тяги,"Россия, 680000, Хабаровский край, г. Хабаровск, ул. Ленина, 18В",48.505003,135.061031,,,,,,,,,64,750,Yandex.Weather,Urban,100.0,Lowland,None,False,2.0,LOW
